Date,Store Number,Foot Traffic,Number of Visitors
2022-1-3,24,16864,1806
2022-1-3,3,22486,1567
2022-1-3,52,24840,2585
2022-1-3,29,21438,1775
2022-1-3,67,23457,1779
2022-1-3,9,21083,1684
2022-1-3,58,21314,1760
2022-1-3,35,18413,1493
2022-1-3,6,17145,1449
2022-1-3,55,16975,1220
2022-1-3,32,16419,1106
2022-1-3,22,16985,1380
2022-1-3,48,15760,1106
2022-1-3,8,22766,2394
2022-1-3,57,20723,2146
2022-1-3,34,22409,2101
2022-1-3,12,19461,1902
2022-1-3,61,14401,1339
2022-1-3,38,15044,1367
2022-1-3,11,16307,1277
2022-1-3,60,19710,1869
2022-1-3,37,18966,1319
2022-1-3,5,18649,1418
2022-1-3,54,22987,1777
2022-1-3,31,23076,2529
2022-1-3,69,23298,2127
2022-1-3,17,17659,1814
2022-1-3,43,18606,1871
2022-1-3,7,22990,1884
2022-1-3,56,17396,1360
2022-1-3,33,19282,1790
2022-1-3,13,15474,1610
2022-1-3,62,16816,1257
2022-1-3,39,18675,1919
2022-1-3,16,18870,1922
2022-1-3,42,16694,1661
2022-1-3,14,19349,1408
2022-1-3,63,18915,1876
2022-1-3,40,15980,1671
2022-1-3,10,18269,1397
2022-1-3,59,18675,1287
2022-1-3,36,21871,2402
2022-1-3,25,16106,1592
2022-1-3,19,16392,1334
2022-1-3,45,14246,1106
2022-1-3,4,22875,2093
2022-1-3,53,23594,1970
2022-1-3,30,22694,2277
2022-1-3,68,18584,1610
2022-1-3,18,16913,1818
2022-1-3,44,16633,1297
2022-1-3,15,17282,1293
2022-1-3,64,17497,1606
2022-1-3,41,14866,1230
2022-1-3,23,14514,1430
2022-1-3,49,12591,1312
2022-1-3,2,21896,1849
2022-1-3,51,20472,1995
2022-1-3,28,18281,1830
2022-1-3,66,19936,1338
2022-1-3,20,14166,1483
2022-1-3,46,16286,1761
2022-1-3,26,16219,1117
2022-1-4,1,19460,1964
2022-1-4,50,19232,1424
2022-1-4,27,19678,1421
2022-1-4,70,16605,1182
2022-1-4,65,17345,1285
2022-1-4,21,9689,1041
2022-1-4,47,9296,902
2022-1-4,24,9956,1086
2022-1-4,3,13420,1263
2022-1-4,52,15629,1665
2022-1-4,29,13266,1446
2022-1-4,67,14452,1299
2022-1-4,9,12554,1294
2022-1-4,58,12313,815
2022-1-4,35,11380,897
2022-1-4,6,12466,1155
2022-1-4,55,13666,1342
2022-1-4,32,15066,1229
2022-1-4,22,11652,1239
2022-1-4,48,12143,1045
2022-1-4,8,16099,1369
2022-1-4,57,11855,1253
2022-1-4,34,15974,1135
2022-1-4,12,13289,996
2022-1-4,61,10169,913
2022-1-4,38,11262,1066
2022-1-4,11,11405,1056
2022-1-4,60,9957,867
2022-1-4,37,10775,1136
2022-1-4,5,13310,1217
2022-1-4,54,15221,1559
2022-1-4,31,13548,1031
2022-1-4,69,16464,1438
2022-1-4,17,12963,1014
2022-1-4,43,11709,1072
2022-1-4,7,11926,1140
2022-1-4,56,15440,1025
2022-1-4,33,13845,1157
2022-1-4,13,12695,997
2022-1-4,62,10042,1023
2022-1-4,39,10889,1114
2022-1-4,16,13793,942
2022-1-4,42,13002,888
2022-1-4,14,11226,884
2022-1-4,63,12273,864
2022-1-4,40,12424,1111
2022-1-4,10,13725,1305
2022-1-4,59,16126,1674
2022-1-4,36,11903,1096
2022-1-4,25,9814,732
2022-1-4,19,11395,875
2022-1-4,45,10301,994
2022-1-4,4,15492,1437
2022-1-4,53,15473,1678
2022-1-4,30,17464,1912
2022-1-4,68,17514,1671
2022-1-4,18,12233,1215
2022-1-4,44,10500,720
2022-1-4,15,13952,1487
2022-1-4,64,14171,1278
2022-1-4,41,13552,1378
2022-1-4,23,10841,1000
2022-1-4,49,9312,922
2022-1-4,2,18047,1667
2022-1-4,51,14944,1404
2022-1-4,28,16339,1480
2022-1-4,66,17883,1346
2022-1-4,20,11556,1102
2022-1-4,46,9839,798
2022-1-4,26,10861,724
2022-1-5,1,17844,1726
2022-1-5,50,18605,1846
2022-1-5,27,18212,1244
2022-1-5,70,14500,1555
2022-1-5,65,16091,1146
2022-1-5,21,8373,806
2022-1-5,47,10201,941
2022-1-5,24,9771,1001
2022-1-5,3,15477,1424
2022-1-5,52,16401,1449
2022-1-5,29,14018,1115
2022-1-5,67,16175,1423
2022-1-5,9,11845,1171
2022-1-5,58,12595,939
2022-1-5,35,13275,1314
2022-1-5,6,13928,1181
2022-1-5,55,10909,750
2022-1-5,32,11969,1251
2022-1-5,22,11358,1187
2022-1-5,48,10447,729
2022-1-5,8,12053,818
2022-1-5,57,14115,1021
2022-1-5,34,11456,1024
2022-1-5,12,11355,1097
2022-1-5,61,12375,1236
2022-1-5,38,11470,972
2022-1-5,11,13461,1288
2022-1-5,60,12294,1126
2022-1-5,37,13250,965
2022-1-5,5,15477,1640
2022-1-5,54,16789,1217
2022-1-5,31,13707,1141
2022-1-5,69,16631,1423
2022-1-5,17,13542,1372
2022-1-5,43,9872,797
2022-1-5,7,13477,946
2022-1-5,56,12852,1290
2022-1-5,33,12921,1413
2022-1-5,13,10607,1082
2022-1-5,62,13222,1235
2022-1-5,39,11612,891
2022-1-5,16,12725,922
2022-1-5,42,13243,1221
2022-1-5,14,10597,739
2022-1-5,63,11753,1098
2022-1-5,40,9603,955
2022-1-5,10,13822,1492
2022-1-5,59,13802,1097
2022-1-5,36,11907,1264
2022-1-5,25,9434,883
2022-1-5,19,10822,867
2022-1-5,45,9652,706
2022-1-5,4,16462,1792
2022-1-5,53,13319,1006
2022-1-5,30,15916,1456
2022-1-5,68,13917,1102
2022-1-5,18,12435,876
2022-1-5,44,13305,1383
2022-1-5,15,11793,1254
2022-1-5,64,10661,797
2022-1-5,41,13122,1390
2022-1-5,23,8684,797
2022-1-5,49,11058,997
2022-1-5,2,16790,1256
2022-1-5,51,15760,1697
2022-1-5,28,16535,1803
2022-1-5,66,13504,1075
2022-1-5,20,8814,956
2022-1-5,46,10948,1062
2022-1-5,26,10836,1097
2022-1-6,1,13161,1123
2022-1-6,50,14468,1202
2022-1-6,27,13891,1011
2022-1-6,70,15723,1717
2022-1-6,65,17752,1305
2022-1-6,21,8996,902
2022-1-6,47,9139,969
2022-1-6,24,8767,906
2022-1-6,3,13681,1295
2022-1-6,52,11708,1244
2022-1-6,29,14951,1288
2022-1-6,67,12926,1098
2022-1-6,9,12045,984
2022-1-6,58,14142,1162
2022-1-6,35,12969,1420
2022-1-6,6,12714,1018
2022-1-6,55,10405,807
2022-1-6,32,13211,942
2022-1-6,22,10767,993
2022-1-6,48,10527,856
2022-1-6,8,12968,1082
2022-1-6,57,12807,938
2022-1-6,34,13713,1365
2022-1-6,12,12832,1073
2022-1-6,61,9696,874
2022-1-6,38,12220,1013
2022-1-6,11,11004,792
2022-1-6,60,9913,759
2022-1-6,37,12603,1347
2022-1-6,5,14081,1246
2022-1-6,54,13582,1013
2022-1-6,31,13313,967
2022-1-6,69,12772,864
2022-1-6,17,11797,1055
2022-1-6,43,9749,979
2022-1-6,7,11091,835
2022-1-6,56,13410,1415
2022-1-6,33,14655,1569
2022-1-6,13,9946,990
2022-1-6,62,11642,1105
2022-1-6,39,12093,1067
2022-1-6,16,11710,1221
2022-1-6,42,10726,1131
2022-1-6,14,11266,966
2022-1-6,63,12119,1013
2022-1-6,40,10537,911
2022-1-6,10,13872,1167
2022-1-6,59,11968,1156
2022-1-6,36,12299,998
2022-1-6,25,8535,835
2022-1-6,19,8368,887
2022-1-6,45,9235,639
2022-1-6,4,16158,1556
2022-1-6,53,15911,1134
2022-1-6,30,14800,1161
2022-1-6,68,14930,1571
2022-1-6,18,9797,1016
2022-1-6,44,11209,974
2022-1-6,15,9644,963
2022-1-6,64,10426,787
2022-1-6,41,12368,1056
2022-1-6,23,9192,766
2022-1-6,49,10824,855
2022-1-6,2,16510,1650
2022-1-6,51,13537,1427
2022-1-6,28,16364,1305
2022-1-6,66,13668,1464
2022-1-6,20,8675,618
2022-1-6,46,10922,960
2022-1-6,26,9773,750
2022-1-7,1,16739,1730
2022-1-7,50,13762,1276
2022-1-7,27,13065,1429
2022-1-7,70,15293,1258
2022-1-7,65,12819,866
2022-1-7,21,8350,614
2022-1-7,47,7849,708
2022-1-7,24,10011,961
2022-1-7,3,13950,1341
2022-1-7,52,11754,1262
2022-1-7,29,11605,1031
2022-1-7,67,11019,919
2022-1-7,9,9731,747
2022-1-7,58,11673,1116
2022-1-7,35,10652,1137
2022-1-7,6,12361,1107
2022-1-7,55,10742,746
2022-1-7,32,13012,979
2022-1-7,22,9143,701
2022-1-7,48,10072,727
2022-1-7,8,11559,976
2022-1-7,57,12810,1031
2022-1-7,34,12683,1039
2022-1-7,12,9909,905
2022-1-7,61,10552,789
2022-1-7,38,9254,837
2022-1-7,11,9159,742
2022-1-7,60,9810,815
2022-1-7,37,9675,908
2022-1-7,5,12639,1329
2022-1-7,54,11915,1188
2022-1-7,31,13382,1265
2022-1-7,69,12629,884
2022-1-7,17,10589,1159
2022-1-7,43,10449,1112
2022-1-7,7,11801,1190
2022-1-7,56,12487,1347
2022-1-7,33,13329,1001
2022-1-7,13,11228,1206
2022-1-7,62,9063,671
2022-1-7,39,11247,957
2022-1-7,16,9356,624
2022-1-7,42,10840,1017
2022-1-7,14,9635,736
2022-1-7,63,9568,682
2022-1-7,40,8922,935
2022-1-7,10,11070,895
2022-1-7,59,12330,864
2022-1-7,36,9769,812
2022-1-7,25,9918,833
2022-1-7,19,9857,885
2022-1-7,45,7380,547
2022-1-7,4,14043,995
2022-1-7,53,12548,1261
2022-1-7,30,15384,1418
2022-1-7,68,11852,1265
2022-1-7,18,12057,1156
2022-1-7,44,9950,847
2022-1-7,15,11728,1264
2022-1-7,64,11585,971
2022-1-7,41,10711,1143
2022-1-7,23,8334,603
2022-1-7,49,7523,591
2022-1-7,2,13961,1168
2022-1-7,51,12788,1214
2022-1-7,28,11557,808
2022-1-7,66,12814,936
2022-1-7,20,10175,850
2022-1-7,46,8495,692
2022-1-7,26,9139,884
2022-1-8,1,19528,1753
2022-1-8,50,16129,1093
2022-1-8,27,18004,1502
2022-1-8,70,14648,1083
2022-1-8,65,17111,1160
2022-1-8,21,10766,734
2022-1-8,47,11898,1012
2022-1-8,24,11925,883
2022-1-8,3,16862,1162
2022-1-8,52,13444,1114
2022-1-8,29,15156,1277
2022-1-8,67,15922,1556
2022-1-8,9,14445,1106
2022-1-8,58,12393,1226
2022-1-8,35,12997,1267
2022-1-8,6,13831,1293
2022-1-8,55,15167,1364
2022-1-8,32,14059,1188
2022-1-8,22,8648,590
2022-1-8,48,9088,799
2022-1-8,8,12241,1112
2022-1-8,57,14572,1583
2022-1-8,34,13402,1103
2022-1-8,12,14215,1325
2022-1-8,61,12231,1115
2022-1-8,38,13252,1128
2022-1-8,11,13440,1180
2022-1-8,60,12881,1154
2022-1-8,37,13813,1518
2022-1-8,5,14635,1523
2022-1-8,54,14949,1538
2022-1-8,31,13977,1123
2022-1-8,69,18201,1836
2022-1-8,17,12100,1117
2022-1-8,43,13653,910
2022-1-8,7,13661,1099
2022-1-8,56,11942,1154
2022-1-8,33,16103,1191
2022-1-8,13,12647,976
2022-1-8,62,13059,952
2022-1-8,39,12478,961
2022-1-8,16,12702,1099
2022-1-8,42,10831,830
2022-1-8,14,12081,1279
2022-1-8,63,11381,910
2022-1-8,40,13381,1297
2022-1-8,10,13018,1332
2022-1-8,59,14709,1171
2022-1-8,36,14023,1008
2022-1-8,25,10979,1045
2022-1-8,19,9634,840
2022-1-8,45,11699,1241
2022-1-8,4,16423,1390
2022-1-8,53,15048,1037
2022-1-8,30,13674,1237
2022-1-8,68,18390,1556
2022-1-8,18,12539,1210
2022-1-8,44,11717,853
2022-1-8,15,11185,747
2022-1-8,64,13106,1348
2022-1-8,41,11061,1003
2022-1-8,23,8723,772
2022-1-8,49,11224,1113
2022-1-8,2,14034,1167
2022-1-8,51,15045,1336
2022-1-8,28,17117,1387
2022-1-8,66,13610,1240
2022-1-8,20,12249,1237
2022-1-8,46,10531,851
2022-1-8,26,11556,1088
2022-1-9,1,29095,2351
2022-1-9,50,30841,2695
2022-1-9,27,33229,3594
2022-1-9,70,32815,2859
2022-1-9,65,33415,2447
2022-1-9,21,19286,2121
2022-1-9,47,20325,1496
2022-1-9,24,21989,1957
2022-1-9,3,25604,2604
2022-1-9,52,31969,2630
2022-1-9,29,27938,2202
2022-1-9,67,28348,2696
2022-1-9,9,26100,2435
2022-1-9,58,28054,2746
2022-1-9,35,29042,2994
2022-1-9,6,27844,1915
2022-1-9,55,25557,2631
2022-1-9,32,23218,1669
2022-1-9,22,19758,1471
2022-1-9,48,16615,1785
2022-1-9,8,23621,2464
2022-1-9,57,24651,1699
2022-1-9,34,27174,2151
2022-1-9,12,21306,1881
2022-1-9,61,21800,1781
2022-1-9,38,25747,2497
2022-1-9,11,19726,1499
2022-1-9,60,23136,2102
2022-1-9,37,20520,2178
2022-1-9,5,26075,2259
2022-1-9,54,32383,2694
2022-1-9,31,24623,2020
2022-1-9,69,28664,2450
2022-1-9,17,21859,2365
2022-1-9,43,21280,2281
2022-1-9,7,25279,2115
2022-1-9,56,21742,2167
2022-1-9,33,27075,2615
2022-1-9,13,25607,1967
2022-1-9,62,23592,2409
2022-1-9,39,25909,1989
2022-1-9,16,25559,1989
2022-1-9,42,19983,1515
2022-1-9,14,25250,1993
2022-1-9,63,20292,1761
2022-1-9,40,21495,1608
2022-1-9,10,27881,2390
2022-1-9,59,25551,2368
2022-1-9,36,29368,2378
2022-1-9,25,21957,2291
2022-1-9,19,22692,1626
2022-1-9,45,19564,1478
2022-1-9,4,26274,2355
2022-1-9,53,24789,2115
2022-1-9,30,28767,2339
2022-1-9,68,29189,2538
2022-1-9,18,23275,1788
2022-1-9,44,23121,2235
2022-1-9,15,20905,2002
2022-1-9,64,21799,2044
2022-1-9,41,23307,2518
2022-1-9,23,20157,1782
2022-1-9,49,17561,1239
2022-1-9,2,26226,2232
2022-1-9,51,28220,2564
2022-1-9,28,29908,3038
2022-1-9,66,24102,2461
2022-1-9,20,15987,1203
2022-1-9,46,17268,1181
2022-1-9,26,16888,1191
2022-1-10,1,24411,1643
2022-1-10,50,28423,2687
2022-1-10,27,30502,2516
2022-1-10,70,25594,1982
2022-1-10,65,23826,1840
2022-1-10,21,16709,1573
2022-1-10,47,16696,1482
2022-1-10,24,17879,1666
2022-1-10,3,25300,2087
2022-1-10,52,23313,2106
2022-1-10,29,20013,2045
2022-1-10,67,22764,2204
2022-1-10,9,22670,2284
2022-1-10,58,22090,1671
2022-1-10,35,24241,2106
2022-1-10,6,21030,2170
2022-1-10,55,23984,1779
2022-1-10,32,18976,1700
2022-1-10,22,17163,1455
2022-1-10,48,17490,1358
2022-1-10,8,20423,1349
2022-1-10,57,24445,2269
2022-1-10,34,24451,2426
2022-1-10,12,17442,1219
2022-1-10,61,20437,1949
2022-1-10,38,20329,1640
2022-1-10,11,15476,1471
2022-1-10,60,19373,1299
2022-1-10,37,15165,1051
2022-1-10,5,20882,1387
2022-1-10,54,22865,1587
2022-1-10,31,26836,1957
2022-1-10,69,20087,2028
2022-1-10,17,20662,1844
2022-1-10,43,16280,1098
2022-1-10,7,23140,2160
2022-1-10,56,19365,1963
2022-1-10,33,22134,1654
2022-1-10,13,19507,1739
2022-1-10,62,18590,1584
2022-1-10,39,17952,1907
2022-1-10,16,18655,1851
2022-1-10,42,15067,1531
2022-1-10,14,17708,1715
2022-1-10,63,21073,1922
2022-1-10,40,19845,1968
2022-1-10,10,23035,2328
2022-1-10,59,17891,1494
2022-1-10,36,20340,1591
2022-1-10,25,16120,1566
2022-1-10,19,15652,1713
2022-1-10,45,17066,1798
2022-1-10,4,27333,2867
2022-1-10,53,21919,2278
2022-1-10,30,21607,1460
2022-1-10,68,22097,1703
2022-1-10,18,18087,1617
2022-1-10,44,18023,1761
2022-1-10,15,17289,1509
2022-1-10,64,21105,1446
2022-1-10,41,18634,1568
2022-1-10,23,14460,1496
2022-1-10,49,17420,1508
2022-1-10,2,26744,2676
2022-1-10,51,20955,1757
2022-1-10,28,26291,2736
2022-1-10,66,22248,1915
2022-1-10,20,17406,1293
2022-1-10,46,16768,1498
2022-1-10,26,13037,1015
2022-1-11,1,19364,1529
2022-1-11,50,15713,1374
2022-1-11,27,20499,1812
2022-1-11,70,16853,1711
2022-1-11,65,16615,1512
2022-1-11,21,9462,967
2022-1-11,47,9865,990
2022-1-11,24,9434,800
2022-1-11,3,18436,1297
2022-1-11,52,17845,1664
2022-1-11,29,17887,1603
2022-1-11,67,18020,1844
2022-1-11,9,15884,1217
2022-1-11,58,13707,1208
2022-1-11,35,14484,1194
2022-1-11,6,12146,1312
2022-1-11,55,15505,1596
2022-1-11,32,16400,1249
2022-1-11,22,10218,738
2022-1-11,48,11260,1147
2022-1-11,8,16166,1134
2022-1-11,57,15417,1668
2022-1-11,34,13644,1207
2022-1-11,12,13350,1410
2022-1-11,61,10885,1100
2022-1-11,38,13208,1202
2022-1-11,11,11807,1163
2022-1-11,60,14263,953
2022-1-11,37,11715,1127
2022-1-11,5,16505,1552
2022-1-11,54,14052,1192
2022-1-11,31,13888,950
2022-1-11,69,15917,1409
2022-1-11,17,13878,1440
2022-1-11,43,13366,1158
2022-1-11,7,12074,1272
2022-1-11,56,12028,962
2022-1-11,33,15401,1672
2022-1-11,13,11774,1171
2022-1-11,62,13170,1150
2022-1-11,39,12774,1190
2022-1-11,16,11789,1044
2022-1-11,42,10672,763
2022-1-11,14,13525,995
2022-1-11,63,13031,1382
2022-1-11,40,13113,942
2022-1-11,10,15073,1522
2022-1-11,59,16295,1391
2022-1-11,36,13515,1348
2022-1-11,25,11054,822
2022-1-11,19,9420,942
2022-1-11,45,11144,958
2022-1-11,4,17191,1379
2022-1-11,53,16314,1267
2022-1-11,30,16838,1813
2022-1-11,68,18212,1453
2022-1-11,18,12183,984
2022-1-11,44,11580,850
2022-1-11,15,13403,1154
2022-1-11,64,13226,1169
2022-1-11,41,13438,954
2022-1-11,23,11506,959
2022-1-11,49,9580,1051
2022-1-11,2,15932,1232
2022-1-11,51,15798,1226
2022-1-11,28,13347,1295
2022-1-11,66,16482,1735
2022-1-11,20,11625,1253
2022-1-11,46,11903,1099
2022-1-11,26,11515,1003
2022-1-12,1,15725,1570
2022-1-12,50,13668,907
2022-1-12,27,16784,1235
2022-1-12,70,17313,1871
2022-1-12,65,15200,1030
2022-1-12,21,7734,669
2022-1-12,47,7923,868
2022-1-12,24,8325,614
2022-1-12,3,13879,1266
2022-1-12,52,11546,1034
2022-1-12,29,14758,1390
2022-1-12,67,13883,1123
2022-1-12,9,10537,713
2022-1-12,58,11045,1057
2022-1-12,35,14299,1562
2022-1-12,6,13097,871
2022-1-12,55,10359,803
2022-1-12,32,12084,1295
2022-1-12,22,9954,1014
2022-1-12,48,10542,805
2022-1-12,8,12941,1367
2022-1-12,57,14225,1330
2022-1-12,34,14046,1089
2022-1-12,12,10712,959
2022-1-12,61,11208,864
2022-1-12,38,12036,797
2022-1-12,11,12056,1228
2022-1-12,60,11608,956
2022-1-12,37,10794,1126
2022-1-12,5,15870,1598
2022-1-12,54,11878,1148
2022-1-12,31,14741,1570
2022-1-12,69,13390,1399
2022-1-12,17,11370,1016
2022-1-12,43,10468,967
2022-1-12,7,14542,1395
2022-1-12,56,10601,920
2022-1-12,33,14140,1018
2022-1-12,13,9545,944
2022-1-12,62,11701,841
2022-1-12,39,9353,761
2022-1-12,16,10846,930
2022-1-12,42,11508,957
2022-1-12,14,10515,1066
2022-1-12,63,10934,1122
2022-1-12,40,10610,751
2022-1-12,10,13094,898
2022-1-12,59,10274,1005
2022-1-12,36,13287,1180
2022-1-12,25,9309,667
2022-1-12,19,10405,1130
2022-1-12,45,7733,593
2022-1-12,4,16080,1717
2022-1-12,53,15589,1492
2022-1-12,30,15018,1180
2022-1-12,68,15262,1623
2022-1-12,18,12742,851
2022-1-12,44,12700,1241
2022-1-12,15,11662,904
2022-1-12,64,9800,811
2022-1-12,41,9662,779
2022-1-12,23,8602,807
2022-1-12,49,8992,787
2022-1-12,2,12539,878
2022-1-12,51,12998,896
2022-1-12,28,11950,873
2022-1-12,66,15970,1209
2022-1-12,20,8265,723
2022-1-12,46,10004,1027
2022-1-12,26,9916,762
2022-1-13,1,15899,1641
2022-1-13,50,17361,1878
2022-1-13,27,17447,1576
2022-1-13,70,15942,1522
2022-1-13,65,14433,1409
2022-1-13,21,9010,710
2022-1-13,47,9859,965
2022-1-13,24,9187,641
2022-1-13,3,14581,970
2022-1-13,52,13810,1135
2022-1-13,29,12116,1321
2022-1-13,67,13680,1445
2022-1-13,9,12413,1256
2022-1-13,58,12424,1199
2022-1-13,35,11765,1206
2022-1-13,6,11511,1246
2022-1-13,55,14334,1098
2022-1-13,32,10705,868
2022-1-13,22,9835,653
2022-1-13,48,8796,731
2022-1-13,8,13483,1398
2022-1-13,57,14077,1360
2022-1-13,34,14419,1115
2022-1-13,12,9928,948
2022-1-13,61,11258,776
2022-1-13,38,9616,644
2022-1-13,11,11101,844
2022-1-13,60,12696,1148
2022-1-13,37,11588,1164
2022-1-13,5,12801,1057
2022-1-13,54,12615,1122
2022-1-13,31,12360,1267
2022-1-13,69,11764,973
2022-1-13,17,11952,1119
2022-1-13,43,10843,1123
2022-1-13,7,11451,828
2022-1-13,56,10346,731
2022-1-13,33,13494,1298
2022-1-13,13,12127,862
2022-1-13,62,10333,810
2022-1-13,39,12212,1017
2022-1-13,16,11404,985
2022-1-13,42,11567,1150
2022-1-13,14,9907,831
2022-1-13,63,11754,1002
2022-1-13,40,12697,1368
2022-1-13,10,14100,1098
2022-1-13,59,14115,974
2022-1-13,36,11504,800
2022-1-13,25,7753,609
2022-1-13,19,9643,922
2022-1-13,45,9471,759
2022-1-13,4,14926,1553
2022-1-13,53,13567,1369
2022-1-13,30,13202,901
2022-1-13,68,12817,1361
2022-1-13,18,11295,1037
2022-1-13,44,11143,1152
2022-1-13,15,12464,981
2022-1-13,64,11946,1123
2022-1-13,41,12349,1102
2022-1-13,23,7739,778
2022-1-13,49,7935,780
2022-1-13,2,14754,1592
2022-1-13,51,13958,1305
2022-1-13,28,15388,1306
2022-1-13,66,13313,1367
2022-1-13,20,10189,959
2022-1-13,46,10138,1053
2022-1-13,26,10519,899
2022-1-14,1,19863,1784
2022-1-14,50,16742,1657
2022-1-14,27,19448,2055
2022-1-14,70,19926,1376
2022-1-14,65,21021,1444
2022-1-14,21,11752,931
2022-1-14,47,11815,950
2022-1-14,24,10390,895
2022-1-14,3,15085,1120
2022-1-14,52,13886,1467
2022-1-14,29,15066,1248
2022-1-14,67,16863,1125
2022-1-14,9,16605,1142
2022-1-14,58,16271,1392
2022-1-14,35,15323,1486
2022-1-14,6,17160,1273
2022-1-14,55,15434,1456
2022-1-14,32,12074,803
2022-1-14,22,12669,1287
2022-1-14,48,9624,730
2022-1-14,8,12906,1316
2022-1-14,57,16824,1700
2022-1-14,34,16845,1523
2022-1-14,12,13132,1183
2022-1-14,61,13227,1063
2022-1-14,38,14405,1379
2022-1-14,11,13326,927
2022-1-14,60,14370,1398
2022-1-14,37,11815,935
2022-1-14,5,18862,2015
2022-1-14,54,13693,1237
2022-1-14,31,17213,1445
2022-1-14,69,18766,1907
2022-1-14,17,13095,1145
2022-1-14,43,13145,1017
2022-1-14,7,15598,1347
2022-1-14,56,15886,1193
