Date,Product Category,Store Number,Daily Sales
2021-1-1,C,20,7213
2021-1-1,D,20,4556
2021-1-1,A,21,17463
2021-1-1,B,21,8732
2021-1-1,C,21,7213
2021-1-1,D,21,4556
2021-1-1,A,22,17463
2021-1-1,B,22,8732
2021-1-1,C,22,7213
2021-1-1,D,22,4556
2021-1-1,A,23,17463
2021-1-1,B,23,8732
2021-1-1,C,23,7213
2021-1-1,D,23,4556
2021-1-1,A,24,17463
2021-1-1,B,24,8732
2021-1-1,C,24,7213
2021-1-1,D,24,4556
2021-1-1,A,25,17463
2021-1-1,B,25,8732
2021-1-1,C,25,7213
2021-1-1,D,25,4556
2021-1-1,A,26,17463
2021-1-1,B,26,8732
2021-1-1,C,26,7213
2021-1-1,D,26,4556
2021-1-1,A,27,29105
2021-1-1,B,27,14552
2021-1-1,C,27,12022
2021-1-1,D,27,7593
2021-1-1,A,28,26195
2021-1-1,B,28,13097
2021-1-1,C,28,10820
2021-1-1,D,28,6833
2021-1-1,A,29,26195
2021-1-1,B,29,13097
2021-1-1,C,29,10820
2021-1-1,D,29,6833
2021-1-1,A,30,26195
2021-1-1,B,30,13097
2021-1-1,C,30,10820
2021-1-1,D,30,6833
2021-1-1,A,31,26195
2021-1-1,B,31,13097
2021-1-1,C,31,10820
2021-1-1,D,31,6833
2021-1-1,A,32,23284
2021-1-1,B,32,11642
2021-1-1,C,32,9617
2021-1-1,D,32,6074
2021-1-1,A,33,23284
2021-1-1,B,33,11642
2021-1-1,C,33,9617
2021-1-1,D,33,6074
2021-1-1,A,34,23284
2021-1-1,B,34,11642
2021-1-1,C,34,9617
2021-1-1,D,34,6074
2021-1-1,A,35,23284
2021-1-1,B,35,11642
2021-1-1,C,35,9617
2021-1-1,D,35,6074
2021-1-1,A,36,23284
2021-1-1,B,36,11642
2021-1-1,C,36,9617
2021-1-1,D,36,6074
2021-1-1,A,37,20374
2021-1-1,B,37,10187
2021-1-1,C,37,8415
2021-1-1,D,37,5315
2021-1-1,A,38,20374
2021-1-1,B,38,10187
2021-1-1,C,38,8415
2021-1-1,D,38,5315
2021-1-1,A,39,20374
2021-1-1,B,39,10187
2021-1-1,C,39,8415
2021-1-1,D,39,5315
2021-1-1,A,40,20374
2021-1-1,B,40,10187
2021-1-1,C,40,8415
2021-1-1,D,40,5315
2021-1-1,A,41,20374
2021-1-1,B,41,10187
2021-1-1,C,41,8415
2021-1-1,D,41,5315
2021-1-1,A,42,20374
2021-1-1,B,42,10187
2021-1-1,C,42,8415
2021-1-1,D,42,5315
2021-1-1,A,43,20374
2021-1-1,B,43,10187
2021-1-1,C,43,8415
2021-1-1,D,43,5315
2021-1-1,A,44,20374
2021-1-1,B,44,10187
2021-1-1,C,44,8415
2021-1-1,D,44,5315
2021-1-1,A,45,17463
2021-1-1,B,45,8732
2021-1-1,C,45,7213
2021-1-1,D,45,4556
2021-1-1,A,46,17463
2021-1-1,B,46,8732
2021-1-1,C,46,7213
2021-1-1,D,46,4556
2021-1-1,A,47,17463
2021-1-1,B,47,8732
2021-1-1,C,47,7213
2021-1-1,D,47,4556
2021-1-1,A,48,17463
2021-1-1,B,48,8732
2021-1-1,C,48,7213
2021-1-1,D,48,4556
2021-1-1,A,49,17463
2021-1-1,B,49,8732
2021-1-1,C,49,7213
2021-1-1,D,49,4556
2021-1-1,A,50,29105
2021-1-1,B,50,14552
2021-1-1,C,50,12022
2021-1-1,D,50,7593
2021-1-1,A,51,26195
2021-1-1,B,51,13097
2021-1-1,C,51,10820
2021-1-1,D,51,6833
2021-1-1,A,52,26195
2021-1-1,B,52,13097
2021-1-1,C,52,10820
2021-1-1,D,52,6833
2021-1-1,A,53,26195
2021-1-1,B,53,13097
2021-1-1,C,53,10820
2021-1-1,D,53,6833
2021-1-1,A,54,26195
2021-1-1,B,54,13097
2021-1-1,C,54,10820
2021-1-1,D,54,6833
2021-1-1,A,55,23284
2021-1-1,B,55,11642
2021-1-1,C,55,9617
2021-1-1,D,55,6074
2021-1-1,A,56,23284
2021-1-1,B,56,11642
2021-1-1,C,56,9617
2021-1-1,D,56,6074
2021-1-1,A,57,23284
2021-1-1,B,57,11642
2021-1-1,C,57,9617
2021-1-1,D,57,6074
2021-1-1,A,58,23284
2021-1-1,B,58,11642
2021-1-1,C,58,9617
2021-1-1,D,58,6074
2021-1-1,A,59,23284
2021-1-1,B,59,11642
2021-1-1,C,59,9617
2021-1-1,D,59,6074
2021-1-1,A,60,20374
2021-1-1,B,60,10187
2021-1-1,C,60,8415
2021-1-1,D,60,5315
2021-1-1,A,61,20374
2021-1-1,B,61,10187
2021-1-1,C,61,8415
2021-1-1,D,61,5315
2021-1-1,A,62,20374
2021-1-1,B,62,10187
2021-1-1,C,62,8415
2021-1-1,D,62,5315
2021-1-1,A,63,20374
2021-1-1,B,63,10187
2021-1-1,C,63,8415
2021-1-1,D,63,5315
2021-1-1,A,64,20374
2021-1-1,B,64,10187
2021-1-1,C,64,8415
2021-1-1,D,64,5315
2021-1-1,A,65,29105
2021-1-1,B,65,14552
2021-1-1,C,65,12022
2021-1-1,D,65,7593
2021-1-1,A,66,26195
2021-1-1,B,66,13097
2021-1-1,C,66,10820
2021-1-1,D,66,6833
2021-1-1,A,67,26195
2021-1-1,B,67,13097
2021-1-1,C,67,10820
2021-1-1,D,67,6833
2021-1-1,A,68,26195
2021-1-1,B,68,13097
2021-1-1,C,68,10820
2021-1-1,D,68,6833
2021-1-1,A,69,26195
2021-1-1,B,69,13097
2021-1-1,C,69,10820
2021-1-1,D,69,6833
2021-1-1,A,70,29105
2021-1-1,B,70,14552
2021-1-1,C,70,12022
2021-1-1,D,70,7593
2021-1-2,A,1,50081
2021-1-2,B,1,25040
2021-1-2,C,1,20686
2021-1-2,D,1,13064
2021-1-2,A,2,45073
2021-1-2,B,2,22537
2021-1-2,C,2,18617
2021-1-2,D,2,11758
2021-1-2,A,3,45073
2021-1-2,B,3,22537
2021-1-2,C,3,18617
2021-1-2,D,3,11758
2021-1-2,A,4,45073
2021-1-2,B,4,22537
2021-1-2,C,4,18617
2021-1-2,D,4,11758
2021-1-2,A,5,45073
2021-1-2,B,5,22537
2021-1-2,C,5,18617
2021-1-2,D,5,11758
2021-1-2,A,6,40065
2021-1-2,B,6,20033
2021-1-2,C,6,16549
2021-1-2,D,6,10452
2021-1-2,A,7,40065
2021-1-2,B,7,20033
2021-1-2,C,7,16549
2021-1-2,D,7,10452
2021-1-2,A,8,40065
2021-1-2,B,8,20033
2021-1-2,C,8,16549
2021-1-2,D,8,10452
2021-1-2,A,9,40065
2021-1-2,B,9,20033
2021-1-2,C,9,16549
2021-1-2,D,9,10452
2021-1-2,A,10,40065
2021-1-2,B,10,20033
2021-1-2,C,10,16549
2021-1-2,D,10,10452
2021-1-2,A,11,35057
2021-1-2,B,11,17528
2021-1-2,C,11,14480
2021-1-2,D,11,9146
2021-1-2,A,12,35057
2021-1-2,B,12,17528
2021-1-2,C,12,14480
2021-1-2,D,12,9146
2021-1-2,A,13,35057
2021-1-2,B,13,17528
2021-1-2,C,13,14480
2021-1-2,D,13,9146
2021-1-2,A,14,35057
2021-1-2,B,14,17528
2021-1-2,C,14,14480
2021-1-2,D,14,9146
2021-1-2,A,15,35057
2021-1-2,B,15,17528
2021-1-2,C,15,14480
2021-1-2,D,15,9146
2021-1-2,A,16,35057
2021-1-2,B,16,17528
2021-1-2,C,16,14480
2021-1-2,D,16,9146
2021-1-2,A,17,35057
2021-1-2,B,17,17528
2021-1-2,C,17,14480
2021-1-2,D,17,9146
2021-1-2,A,18,35057
2021-1-2,B,18,17528
2021-1-2,C,18,14480
2021-1-2,D,18,9146
2021-1-2,A,19,30049
2021-1-2,B,19,15024
2021-1-2,C,19,12411
2021-1-2,D,19,7839
2021-1-2,A,20,30049
2021-1-2,B,20,15024
2021-1-2,C,20,12411
2021-1-2,D,20,7839
2021-1-2,A,21,30049
2021-1-2,B,21,15024
2021-1-2,C,21,12411
2021-1-2,D,21,7839
2021-1-2,A,22,30049
2021-1-2,B,22,15024
2021-1-2,C,22,12411
2021-1-2,D,22,7839
2021-1-2,A,23,30049
2021-1-2,B,23,15024
2021-1-2,C,23,12411
2021-1-2,D,23,7839
2021-1-2,A,24,30049
2021-1-2,B,24,15024
2021-1-2,C,24,12411
2021-1-2,D,24,7839
2021-1-2,A,25,30049
2021-1-2,B,25,15024
2021-1-2,C,25,12411
2021-1-2,D,25,7839
2021-1-2,A,26,30049
2021-1-2,B,26,15024
2021-1-2,C,26,12411
2021-1-2,D,26,7839
2021-1-2,A,27,50081
2021-1-2,B,27,25040
2021-1-2,C,27,20686
2021-1-2,D,27,13064
2021-1-2,A,28,45073
2021-1-2,B,28,22537
2021-1-2,C,28,18617
2021-1-2,D,28,11758
2021-1-2,A,29,45073
2021-1-2,B,29,22537
2021-1-2,C,29,18617
2021-1-2,D,29,11758
2021-1-2,A,30,45073
2021-1-2,B,30,22537
2021-1-2,C,30,18617
2021-1-2,D,30,11758
2021-1-2,A,31,45073
2021-1-2,B,31,22537
2021-1-2,C,31,18617
2021-1-2,D,31,11758
2021-1-2,A,32,40065
2021-1-2,B,32,20033
2021-1-2,C,32,16549
2021-1-2,D,32,10452
2021-1-2,A,33,40065
2021-1-2,B,33,20033
2021-1-2,C,33,16549
2021-1-2,D,33,10452
2021-1-2,A,34,40065
2021-1-2,B,34,20033
2021-1-2,C,34,16549
2021-1-2,D,34,10452
2021-1-2,A,35,40065
2021-1-2,B,35,20033
2021-1-2,C,35,16549
2021-1-2,D,35,10452
2021-1-2,A,36,40065
2021-1-2,B,36,20033
2021-1-2,C,36,16549
2021-1-2,D,36,10452
2021-1-2,A,37,35057
2021-1-2,B,37,17528
2021-1-2,C,37,14480
2021-1-2,D,37,9146
2021-1-2,A,38,35057
2021-1-2,B,38,17528
2021-1-2,C,38,14480
2021-1-2,D,38,9146
2021-1-2,A,39,35057
2021-1-2,B,39,17528
2021-1-2,C,39,14480
2021-1-2,D,39,9146
2021-1-2,A,40,35057
2021-1-2,B,40,17528
2021-1-2,C,40,14480
2021-1-2,D,40,9146
2021-1-2,A,41,35057
2021-1-2,B,41,17528
2021-1-2,C,41,14480
2021-1-2,D,41,9146
2021-1-2,A,42,35057
2021-1-2,B,42,17528
2021-1-2,C,42,14480
2021-1-2,D,42,9146
2021-1-2,A,43,35057
2021-1-2,B,43,17528
2021-1-2,C,43,14480
2021-1-2,D,43,9146
2021-1-2,A,44,35057
2021-1-2,B,44,17528
2021-1-2,C,44,14480
2021-1-2,D,44,9146
2021-1-2,A,45,30049
2021-1-2,B,45,15024
2021-1-2,C,45,12411
2021-1-2,D,45,7839
2021-1-2,A,46,30049
2021-1-2,B,46,15024
2021-1-2,C,46,12411
2021-1-2,D,46,7839
2021-1-2,A,47,30049
2021-1-2,B,47,15024
2021-1-2,C,47,12411
2021-1-2,D,47,7839
2021-1-2,A,48,30049
2021-1-2,B,48,15024
2021-1-2,C,48,12411
2021-1-2,D,48,7839
2021-1-2,A,49,30049
2021-1-2,B,49,15024
2021-1-2,C,49,12411
2021-1-2,D,49,7839
2021-1-2,A,50,50081
2021-1-2,B,50,25040
2021-1-2,C,50,20686
2021-1-2,D,50,13064
2021-1-2,A,51,45073
2021-1-2,B,51,22537
2021-1-2,C,51,18617
2021-1-2,D,51,11758
2021-1-2,A,52,45073
2021-1-2,B,52,22537
2021-1-2,C,52,18617
2021-1-2,D,52,11758
2021-1-2,A,53,45073
2021-1-2,B,53,22537
2021-1-2,C,53,18617
2021-1-2,D,53,11758
2021-1-2,A,54,45073
2021-1-2,B,54,22537
2021-1-2,C,54,18617
2021-1-2,D,54,11758
2021-1-2,A,55,40065
2021-1-2,B,55,20033
2021-1-2,C,55,16549
2021-1-2,D,55,10452
2021-1-2,A,56,40065
2021-1-2,B,56,20033
2021-1-2,C,56,16549
2021-1-2,D,56,10452
2021-1-2,A,57,40065
2021-1-2,B,57,20033
2021-1-2,C,57,16549
2021-1-2,D,57,10452
2021-1-2,A,58,40065
2021-1-2,B,58,20033
2021-1-2,C,58,16549
2021-1-2,D,58,10452
2021-1-2,A,59,40065
2021-1-2,B,59,20033
2021-1-2,C,59,16549
2021-1-2,D,59,10452
2021-1-2,A,60,35057
2021-1-2,B,60,17528
2021-1-2,C,60,14480
2021-1-2,D,60,9146
2021-1-2,A,61,35057
2021-1-2,B,61,17528
2021-1-2,C,61,14480
2021-1-2,D,61,9146
2021-1-2,A,62,35057
2021-1-2,B,62,17528
2021-1-2,C,62,14480
2021-1-2,D,62,9146
2021-1-2,A,63,35057
2021-1-2,B,63,17528
2021-1-2,C,63,14480
2021-1-2,D,63,9146
2021-1-2,A,64,35057
2021-1-2,B,64,17528
2021-1-2,C,64,14480
2021-1-2,D,64,9146
2021-1-2,A,65,50081
2021-1-2,B,65,25040
2021-1-2,C,65,20686
2021-1-2,D,65,13064
2021-1-2,A,66,45073
2021-1-2,B,66,22537
2021-1-2,C,66,18617
2021-1-2,D,66,11758
2021-1-2,A,67,45073
2021-1-2,B,67,22537
2021-1-2,C,67,18617
2021-1-2,D,67,11758
2021-1-2,A,68,45073
2021-1-2,B,68,22537
2021-1-2,C,68,18617
2021-1-2,D,68,11758
2021-1-2,A,69,45073
2021-1-2,B,69,22537
2021-1-2,C,69,18617
2021-1-2,D,69,11758
2021-1-2,A,70,50081
2021-1-2,B,70,25040
2021-1-2,C,70,20686
2021-1-2,D,70,13064
2021-1-3,A,1,48221
2021-1-3,B,1,24111
2021-1-3,C,1,19918
2021-1-3,D,1,12580
2021-1-3,A,2,43400
2021-1-3,B,2,21700
2021-1-3,C,2,17926
2021-1-3,D,2,11321
2021-1-3,A,3,43400
2021-1-3,B,3,21700
2021-1-3,C,3,17926
2021-1-3,D,3,11321
2021-1-3,A,4,43400
2021-1-3,B,4,21700
2021-1-3,C,4,17926
2021-1-3,D,4,11321
2021-1-3,A,5,43400
2021-1-3,B,5,21700
2021-1-3,C,5,17926
2021-1-3,D,5,11321
2021-1-3,A,6,38577
2021-1-3,B,6,19289
2021-1-3,C,6,15934
2021-1-3,D,6,10064
2021-1-3,A,7,38577
2021-1-3,B,7,19289
2021-1-3,C,7,15934
2021-1-3,D,7,10064
2021-1-3,A,8,38577
2021-1-3,B,8,19289
2021-1-3,C,8,15934
2021-1-3,D,8,10064
2021-1-3,A,9,38577
2021-1-3,B,9,19289
2021-1-3,C,9,15934
2021-1-3,D,9,10064
2021-1-3,A,10,38577
2021-1-3,B,10,19289
2021-1-3,C,10,15934
2021-1-3,D,10,10064
2021-1-3,A,11,33755
2021-1-3,B,11,16877
2021-1-3,C,11,13943
2021-1-3,D,11,8806
2021-1-3,A,12,33755
2021-1-3,B,12,16877
2021-1-3,C,12,13943
2021-1-3,D,12,8806
2021-1-3,A,13,33755
2021-1-3,B,13,16877
2021-1-3,C,13,13943
2021-1-3,D,13,8806
2021-1-3,A,14,33755
2021-1-3,B,14,16877
2021-1-3,C,14,13943
2021-1-3,D,14,8806
2021-1-3,A,15,33755
2021-1-3,B,15,16877
2021-1-3,C,15,13943
2021-1-3,D,15,8806
2021-1-3,A,16,33755
2021-1-3,B,16,16877
2021-1-3,C,16,13943
2021-1-3,D,16,8806
2021-1-3,A,17,33755
2021-1-3,B,17,16877
2021-1-3,C,17,13943
2021-1-3,D,17,8806
2021-1-3,A,18,33755
2021-1-3,B,18,16877
2021-1-3,C,18,13943
2021-1-3,D,18,8806
2021-1-3,A,19,28933
2021-1-3,B,19,14467
2021-1-3,C,19,11951
2021-1-3,D,19,7548
2021-1-3,A,20,28933
2021-1-3,B,20,14467
2021-1-3,C,20,11951
2021-1-3,D,20,7548
2021-1-3,A,21,28933
2021-1-3,B,21,14467
2021-1-3,C,21,11951
2021-1-3,D,21,7548
2021-1-3,A,22,28933
2021-1-3,B,22,14467
2021-1-3,C,22,11951
2021-1-3,D,22,7548
2021-1-3,A,23,28933
2021-1-3,B,23,14467
2021-1-3,C,23,11951
2021-1-3,D,23,7548
2021-1-3,A,24,28933
2021-1-3,B,24,14467
2021-1-3,C,24,11951
2021-1-3,D,24,7548
2021-1-3,A,25,28933
2021-1-3,B,25,14467
2021-1-3,C,25,11951
2021-1-3,D,25,7548
2021-1-3,A,26,28933
2021-1-3,B,26,14467
2021-1-3,C,26,11951
2021-1-3,D,26,7548
2021-1-3,A,27,48221
2021-1-3,B,27,24111
2021-1-3,C,27,19918
2021-1-3,D,27,12580
2021-1-3,A,28,43400
2021-1-3,B,28,21700
2021-1-3,C,28,17926
2021-1-3,D,28,11321
2021-1-3,A,29,43400
2021-1-3,B,29,21700
2021-1-3,C,29,17926
2021-1-3,D,29,11321
2021-1-3,A,30,43400
2021-1-3,B,30,21700
2021-1-3,C,30,17926
2021-1-3,D,30,11321
2021-1-3,A,31,43400
2021-1-3,B,31,21700
2021-1-3,C,31,17926
2021-1-3,D,31,11321
2021-1-3,A,32,38577
2021-1-3,B,32,19289
2021-1-3,C,32,15934
2021-1-3,D,32,10064
2021-1-3,A,33,38577
2021-1-3,B,33,19289
2021-1-3,C,33,15934
2021-1-3,D,33,10064
2021-1-3,A,34,38577
2021-1-3,B,34,19289
2021-1-3,C,34,15934
2021-1-3,D,34,10064
2021-1-3,A,35,38577
2021-1-3,B,35,19289
2021-1-3,C,35,15934
2021-1-3,D,35,10064
2021-1-3,A,36,38577
2021-1-3,B,36,19289
2021-1-3,C,36,15934
2021-1-3,D,36,10064
2021-1-3,A,37,33755
2021-1-3,B,37,16877
2021-1-3,C,37,13943
2021-1-3,D,37,8806
2021-1-3,A,38,33755
2021-1-3,B,38,16877
2021-1-3,C,38,13943
2021-1-3,D,38,8806
2021-1-3,A,39,33755
2021-1-3,B,39,16877
2021-1-3,C,39,13943
2021-1-3,D,39,8806
2021-1-3,A,40,33755
2021-1-3,B,40,16877
2021-1-3,C,40,13943
2021-1-3,D,40,8806
2021-1-3,A,41,33755
2021-1-3,B,41,16877
2021-1-3,C,41,13943
2021-1-3,D,41,8806
2021-1-3,A,42,33755
2021-1-3,B,42,16877
2021-1-3,C,42,13943
2021-1-3,D,42,8806
2021-1-3,A,43,33755
2021-1-3,B,43,16877
2021-1-3,C,43,13943
2021-1-3,D,43,8806
2021-1-3,A,44,33755
2021-1-3,B,44,16877
2021-1-3,C,44,13943
2021-1-3,D,44,8806
2021-1-3,A,45,28933
2021-1-3,B,45,14467
2021-1-3,C,45,11951
2021-1-3,D,45,7548
2021-1-3,A,46,28933
2021-1-3,B,46,14467
2021-1-3,C,46,11951
2021-1-3,D,46,7548
2021-1-3,A,47,28933
2021-1-3,B,47,14467
2021-1-3,C,47,11951
2021-1-3,D,47,7548
2021-1-3,A,48,28933
2021-1-3,B,48,14467
2021-1-3,C,48,11951
2021-1-3,D,48,7548
2021-1-3,A,49,28933
2021-1-3,B,49,14467
2021-1-3,C,49,11951
2021-1-3,D,49,7548
2021-1-3,A,50,48221
2021-1-3,B,50,24111
2021-1-3,C,50,19918
2021-1-3,D,50,12580
2021-1-3,A,51,43400
2021-1-3,B,51,21700
2021-1-3,C,51,17926
2021-1-3,D,51,11321
2021-1-3,A,52,43400
2021-1-3,B,52,21700
2021-1-3,C,52,17926
2021-1-3,D,52,11321
2021-1-3,A,53,43400
2021-1-3,B,53,21700
2021-1-3,C,53,17926
2021-1-3,D,53,11321
2021-1-3,A,54,43400
2021-1-3,B,54,21700
2021-1-3,C,54,17926
2021-1-3,D,54,11321
2021-1-3,A,55,38577
2021-1-3,B,55,19289
2021-1-3,C,55,15934
2021-1-3,D,55,10064
2021-1-3,A,56,38577
2021-1-3,B,56,19289
2021-1-3,C,56,15934
2021-1-3,D,56,10064
2021-1-3,A,57,38577
2021-1-3,B,57,19289
2021-1-3,C,57,15934
2021-1-3,D,57,10064
2021-1-3,A,58,38577
2021-1-3,B,58,19289
2021-1-3,C,58,15934
2021-1-3,D,58,10064
2021-1-3,A,59,38577
2021-1-3,B,59,19289
2021-1-3,C,59,15934
2021-1-3,D,59,10064
2021-1-3,A,60,33755
2021-1-3,B,60,16877
2021-1-3,C,60,13943
2021-1-3,D,60,8806
2021-1-3,A,61,33755
2021-1-3,B,61,16877
2021-1-3,C,61,13943
2021-1-3,D,61,8806
2021-1-3,A,62,33755
2021-1-3,B,62,16877
2021-1-3,C,62,13943
2021-1-3,D,62,8806
2021-1-3,A,63,33755
2021-1-3,B,63,16877
2021-1-3,C,63,13943
2021-1-3,D,63,8806
2021-1-3,A,64,33755
2021-1-3,B,64,16877
2021-1-3,C,64,13943
2021-1-3,D,64,8806
2021-1-3,A,65,48221
2021-1-3,B,65,24111
2021-1-3,C,65,19918
2021-1-3,D,65,12580
2021-1-3,A,66,43400
2021-1-3,B,66,21700
2021-1-3,C,66,17926
2021-1-3,D,66,11321
2021-1-3,A,67,43400
2021-1-3,B,67,21700
2021-1-3,C,67,17926
2021-1-3,D,67,11321
2021-1-3,A,68,43400
2021-1-3,B,68,21700
2021-1-3,C,68,17926
2021-1-3,D,68,11321
2021-1-3,A,69,43400
2021-1-3,B,69,21700
2021-1-3,C,69,17926
2021-1-3,D,69,11321
2021-1-3,A,70,48221
2021-1-3,B,70,24111
2021-1-3,C,70,19918
2021-1-3,D,70,12580
2021-1-4,A,1,25934
2021-1-4,B,1,12967
2021-1-4,C,1,10712
2021-1-4,D,1,6765
2021-1-4,A,2,23341
2021-1-4,B,2,11670
2021-1-4,C,2,9641
2021-1-4,D,2,6089
2021-1-4,A,3,23341
2021-1-4,B,3,11670
2021-1-4,C,3,9641
2021-1-4,D,3,6089
2021-1-4,A,4,23341
2021-1-4,B,4,11670
2021-1-4,C,4,9641
2021-1-4,D,4,6089
2021-1-4,A,5,23341
2021-1-4,B,5,11670
2021-1-4,C,5,9641
2021-1-4,D,5,6089
2021-1-4,A,6,20747
2021-1-4,B,6,10373
2021-1-4,C,6,8570
2021-1-4,D,6,5412
2021-1-4,A,7,20747
2021-1-4,B,7,10373
2021-1-4,C,7,8570
2021-1-4,D,7,5412
2021-1-4,A,8,20747
2021-1-4,B,8,10373
2021-1-4,C,8,8570
2021-1-4,D,8,5412
2021-1-4,A,9,20747
2021-1-4,B,9,10373
2021-1-4,C,9,8570
2021-1-4,D,9,5412
2021-1-4,A,10,20747
2021-1-4,B,10,10373
2021-1-4,C,10,8570
2021-1-4,D,10,5412
2021-1-4,A,11,18154
2021-1-4,B,11,9077
2021-1-4,C,11,7499
2021-1-4,D,11,4736
2021-1-4,A,12,18154
2021-1-4,B,12,9077
2021-1-4,C,12,7499
2021-1-4,D,12,4736
2021-1-4,A,13,18154
2021-1-4,B,13,9077
2021-1-4,C,13,7499
2021-1-4,D,13,4736
2021-1-4,A,14,18154
2021-1-4,B,14,9077
2021-1-4,C,14,7499
2021-1-4,D,14,4736
2021-1-4,A,15,18154
2021-1-4,B,15,9077
2021-1-4,C,15,7499
2021-1-4,D,15,4736
2021-1-4,A,16,18154
2021-1-4,B,16,9077
2021-1-4,C,16,7499
2021-1-4,D,16,4736
2021-1-4,A,17,18154
2021-1-4,B,17,9077
2021-1-4,C,17,7499
2021-1-4,D,17,4736
2021-1-4,A,18,18154
2021-1-4,B,18,9077
2021-1-4,C,18,7499
2021-1-4,D,18,4736
2021-1-4,A,19,15560
2021-1-4,B,19,7781
2021-1-4,C,19,6427
2021-1-4,D,19,4059
2021-1-4,A,20,15560
2021-1-4,B,20,7781
2021-1-4,C,20,6427
2021-1-4,D,20,4059
2021-1-4,A,21,15560
2021-1-4,B,21,7781
2021-1-4,C,21,6427
2021-1-4,D,21,4059
2021-1-4,A,22,15560
2021-1-4,B,22,7781
2021-1-4,C,22,6427
2021-1-4,D,22,4059
2021-1-4,A,23,15560
2021-1-4,B,23,7781
2021-1-4,C,23,6427
2021-1-4,D,23,4059
2021-1-4,A,24,15560
2021-1-4,B,24,7781
2021-1-4,C,24,6427
2021-1-4,D,24,4059
2021-1-4,A,25,15560
2021-1-4,B,25,7781
2021-1-4,C,25,6427
2021-1-4,D,25,4059
2021-1-4,A,26,15560
2021-1-4,B,26,7781
2021-1-4,C,26,6427
2021-1-4,D,26,4059
2021-1-4,A,27,25934
2021-1-4,B,27,12967
2021-1-4,C,27,10712
2021-1-4,D,27,6765
2021-1-4,A,28,23341
2021-1-4,B,28,11670
2021-1-4,C,28,9641
2021-1-4,D,28,6089
2021-1-4,A,29,23341
2021-1-4,B,29,11670
2021-1-4,C,29,9641
2021-1-4,D,29,6089
2021-1-4,A,30,23341
2021-1-4,B,30,11670
2021-1-4,C,30,9641
2021-1-4,D,30,6089
2021-1-4,A,31,23341
2021-1-4,B,31,11670
2021-1-4,C,31,9641
2021-1-4,D,31,6089
2021-1-4,A,32,20747
2021-1-4,B,32,10373
2021-1-4,C,32,8570
2021-1-4,D,32,5412
2021-1-4,A,33,20747
2021-1-4,B,33,10373
2021-1-4,C,33,8570
2021-1-4,D,33,5412
2021-1-4,A,34,20747
2021-1-4,B,34,10373
2021-1-4,C,34,8570
2021-1-4,D,34,5412
2021-1-4,A,35,20747
2021-1-4,B,35,10373
2021-1-4,C,35,8570
2021-1-4,D,35,5412
2021-1-4,A,36,20747
2021-1-4,B,36,10373
2021-1-4,C,36,8570
2021-1-4,D,36,5412
2021-1-4,A,37,18154
2021-1-4,B,37,9077
2021-1-4,C,37,7499
2021-1-4,D,37,4736
2021-1-4,A,38,18154
2021-1-4,B,38,9077
2021-1-4,C,38,7499
2021-1-4,D,38,4736
2021-1-4,A,39,18154
2021-1-4,B,39,9077
2021-1-4,C,39,7499
2021-1-4,D,39,4736
2021-1-4,A,40,18154
